file_name,AI,origin_name
stable-diffusion-2-1-base0.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base1.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base2.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base3.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base4.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base5.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base6.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base7.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base8.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base9.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base10.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base11.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base12.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base13.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base14.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base15.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base16.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base17.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base18.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base19.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base20.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base21.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base22.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base23.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base24.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base25.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base26.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base27.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base28.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base29.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base30.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base31.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base32.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base33.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base34.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base35.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base36.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base37.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base38.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base39.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base40.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base41.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base42.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base43.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base44.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base45.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base46.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base47.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base48.png,1,stable-diffusion-2-1-base
stable-diffusion-2-1-base49.png,1,stable-diffusion-2-1-base
stable-diffusion-v1-50.png,1,stable-diffusion-v1-5
stable-diffusion-v1-51.png,1,stable-diffusion-v1-5
stable-diffusion-v1-52.png,1,stable-diffusion-v1-5
stable-diffusion-v1-53.png,1,stable-diffusion-v1-5
stable-diffusion-v1-54.png,1,stable-diffusion-v1-5
stable-diffusion-v1-55.png,1,stable-diffusion-v1-5
stable-diffusion-v1-56.png,1,stable-diffusion-v1-5
stable-diffusion-v1-57.png,1,stable-diffusion-v1-5
stable-diffusion-v1-58.png,1,stable-diffusion-v1-5
stable-diffusion-v1-59.png,1,stable-diffusion-v1-5
stable-diffusion-v1-510.png,1,stable-diffusion-v1-5
stable-diffusion-v1-511.png,1,stable-diffusion-v1-5
stable-diffusion-v1-512.png,1,stable-diffusion-v1-5
stable-diffusion-v1-513.png,1,stable-diffusion-v1-5
stable-diffusion-v1-514.png,1,stable-diffusion-v1-5
stable-diffusion-v1-515.png,1,stable-diffusion-v1-5
stable-diffusion-v1-516.png,1,stable-diffusion-v1-5
stable-diffusion-v1-517.png,1,stable-diffusion-v1-5
stable-diffusion-v1-518.png,1,stable-diffusion-v1-5
stable-diffusion-v1-519.png,1,stable-diffusion-v1-5
stable-diffusion-v1-520.png,1,stable-diffusion-v1-5
stable-diffusion-v1-521.png,1,stable-diffusion-v1-5
stable-diffusion-v1-522.png,1,stable-diffusion-v1-5
stable-diffusion-v1-523.png,1,stable-diffusion-v1-5
stable-diffusion-v1-524.png,1,stable-diffusion-v1-5
stable-diffusion-v1-525.png,1,stable-diffusion-v1-5
stable-diffusion-v1-526.png,1,stable-diffusion-v1-5
stable-diffusion-v1-527.png,1,stable-diffusion-v1-5
stable-diffusion-v1-528.png,1,stable-diffusion-v1-5
stable-diffusion-v1-529.png,1,stable-diffusion-v1-5
stable-diffusion-v1-530.png,1,stable-diffusion-v1-5
stable-diffusion-v1-531.png,1,stable-diffusion-v1-5
stable-diffusion-v1-532.png,1,stable-diffusion-v1-5
stable-diffusion-v1-533.png,1,stable-diffusion-v1-5
stable-diffusion-v1-534.png,1,stable-diffusion-v1-5
stable-diffusion-v1-535.png,1,stable-diffusion-v1-5
stable-diffusion-v1-536.png,1,stable-diffusion-v1-5
stable-diffusion-v1-537.png,1,stable-diffusion-v1-5
stable-diffusion-v1-538.png,1,stable-diffusion-v1-5
stable-diffusion-v1-539.png,1,stable-diffusion-v1-5
stable-diffusion-v1-540.png,1,stable-diffusion-v1-5
stable-diffusion-v1-541.png,1,stable-diffusion-v1-5
stable-diffusion-v1-542.png,1,stable-diffusion-v1-5
stable-diffusion-v1-543.png,1,stable-diffusion-v1-5
stable-diffusion-v1-544.png,1,stable-diffusion-v1-5
stable-diffusion-v1-545.png,1,stable-diffusion-v1-5
stable-diffusion-v1-546.png,1,stable-diffusion-v1-5
stable-diffusion-v1-547.png,1,stable-diffusion-v1-5
stable-diffusion-v1-548.png,1,stable-diffusion-v1-5
stable-diffusion-v1-549.png,1,stable-diffusion-v1-5
lsun-bedrooms0.png,0,lsun-bedrooms
lsun-bedrooms1.png,0,lsun-bedrooms
lsun-bedrooms2.png,0,lsun-bedrooms
lsun-bedrooms3.png,0,lsun-bedrooms
lsun-bedrooms4.png,0,lsun-bedrooms
lsun-bedrooms5.png,0,lsun-bedrooms
lsun-bedrooms6.png,0,lsun-bedrooms
lsun-bedrooms7.png,0,lsun-bedrooms
lsun-bedrooms8.png,0,lsun-bedrooms
lsun-bedrooms9.png,0,lsun-bedrooms
lsun-bedrooms10.png,0,lsun-bedrooms
lsun-bedrooms11.png,0,lsun-bedrooms
lsun-bedrooms12.png,0,lsun-bedrooms
lsun-bedrooms13.png,0,lsun-bedrooms
lsun-bedrooms14.png,0,lsun-bedrooms
lsun-bedrooms15.png,0,lsun-bedrooms
